
___________ Thu Sep 15 17:37:01 2022

* maxRotX=-45.0  * RangeX=25.0  * RangeY=15.0  * StepDeg=-2.0

___________ 
File , transition , degStep , pixelStep , contrastPerc , rotVecX , rotVecY , Rmajor , Rminor , Vmajor , Vminor , Time(us) , curvature , meanDifference , contrastelista , umbrallista , N1 , Nmatch , maximum , minimum , minimo_lejano 
objM0001.cimgz , 00 , 0.79 , 1 , 0.01 , -24.6463 , 3.2439 , 104.5525 , 75.9571 , 103.2989 , 80.9668 , 6463 , 0.0169 , 0.0013 , 8.3263 , 7.5125 , 94 , 93 , 0.3919 , -0.9062 , -0.9024 
objM0001.cimgz , 01 , 0.79 , 1 , 0.01 , -17.1620 , -6.5319 , 104.5525 , 75.9571 , 103.3744 , 93.5720 , 5082 , 0.0120 , 0.1124 , 17.5247 , 14.2667 , 175 , 175 , 0.8108 , -0.9726 , -0.7638 
objM0001.cimgz , 02 , 0.79 , 1 , 0.01 , -24.0541 , -0.5862 , 104.5525 , 75.9571 , 102.8063 , 100.8398 , 5519 , 0.0072 , 0.1922 , 20.7462 , 16.6889 , 192 , 192 , 0.7903 , -0.9728 , -0.6311 
objM0001.cimgz , 03 , 0.79 , 1 , 0.01 , -23.7656 , 10.1791 , 104.5525 , 75.9571 , 106.3286 , 100.1113 , 4670 , 0.0241 , 0.0755 , 21.9195 , 16.7800 , 175 , 175 , 0.9675 , -0.9447 , -0.7952 
objM0001.cimgz , 04 , 0.79 , 1 , 0.01 , -31.1577 , 14.6456 , 104.5525 , 75.9571 , 106.0430 , 94.3344 , 3916 , 0.0250 , 0.0543 , 11.7632 , 10.2588 , 154 , 130 , 0.1557 , -0.7955 , -0.7361 
objM0001.cimgz , 05 , 0.79 , 1 , 0.01 , -44.6341 , -4.8907 , 104.5525 , 75.9571 , 106.0782 , 76.2506 , 3843 , 0.0081 , 0.0562 , 12.3407 , 10.9875 , 116 , 38 , 0.0184 , -0.9784 , -0.9202 
objM0001.cimgz , 06 , 0.79 , 1 , 0.01 , -16.0594 , -0.7881 , 104.5525 , 75.9571 , 105.5068 , 86.2188 , 4929 , -1.0000 , 0.1364 , 16.6171 , 13.2000 , 157 , 157 , 0.7840 , -0.8976 , -0.6682 
objM0001.cimgz , 07 , 0.79 , 1 , 0.01 , -18.5067 , -2.5083 , 104.5525 , 75.9571 , 105.3175 , 95.8486 , 4929 , 0.0080 , 0.1413 , 25.5762 , 20.6000 , 182 , 182 , 0.8498 , -0.9895 , -0.7275 
objM0001.cimgz , 08 , 0.79 , 1 , 0.01 , -19.3278 , -4.3683 , 104.5525 , 75.9571 , 105.6615 , 99.6168 , 4925 , 0.0026 , 0.1694 , 30.2742 , 24.8000 , 192 , 192 , 0.9217 , -0.9947 , -0.6692 
objM0001.cimgz , 09 , 0.79 , 1 , 0.01 , -24.7287 , 7.0930 , 104.5525 , 75.9571 , 104.1030 , 101.1798 , 4855 , -1.0000 , 0.2033 , 30.4587 , 24.8000 , 188 , 188 , 0.8875 , -0.9737 , -0.5922 
objM0001.cimgz , 10 , 0.79 , 1 , 0.01 , 0.0000 , 0.0000 , 104.5525 , 75.9571 , 103.3926 , 96.0700 , 1441 , -2.0000 , 0.0000 , -1.0000 , 19.3500 , 00 , 00 , 0.0000 , 100.0000 , -1.0000 
objM0001.cimgz , 11 , 0.79 , 1 , 0.01 , -9.2471 , 0.5583 , 104.5525 , 75.9571 , 103.2892 , 90.5469 , 4617 , 0.0306 , 0.0821 , 13.4943 , 11.0444 , 174 , 174 , 0.8390 , -0.9349 , -0.7733 
objM0001.cimgz , 00 , 0.79 , 1 , 0.02 , -25.0046 , 3.1110 , 104.5525 , 75.9571 , 103.2989 , 80.9668 , 6216 , 0.0242 , 0.0037 , 7.7144 , 6.9000 , 208 , 205 , 0.2927 , -0.8540 , -0.8371 
objM0001.cimgz , 01 , 0.79 , 1 , 0.02 , -17.1534 , -6.4836 , 104.5525 , 75.9571 , 103.3744 , 93.5720 , 7327 , 0.0198 , 0.1862 , 15.3371 , 11.5100 , 349 , 349 , 0.7123 , -0.9434 , -0.6239 
objM0001.cimgz , 02 , 0.79 , 1 , 0.02 , -23.9634 , 0.1932 , 104.5525 , 75.9571 , 102.8063 , 100.8398 , 7949 , 0.0128 , 0.2730 , 18.1089 , 13.6533 , 384 , 384 , 0.6578 , -0.9525 , -0.5085 
objM0001.cimgz , 03 , 0.79 , 1 , 0.02 , -23.8494 , 9.5995 , 104.5525 , 75.9571 , 106.3286 , 100.1113 , 6961 , 0.0298 , 0.1448 , 19.1519 , 13.7615 , 317 , 317 , 0.8577 , -0.9290 , -0.6658 
objM0001.cimgz , 04 , 0.79 , 1 , 0.02 , -2.6621 , -9.5235 , 104.5525 , 75.9571 , 106.0430 , 94.3344 , 6513 , 0.0439 , 0.0185 , 10.7292 , 9.1821 , 314 , 308 , -0.0410 , -0.7346 , -0.7204 
objM0001.cimgz , 05 , 0.79 , 1 , 0.02 , -45.2196 , -4.7287 , 104.5525 , 75.9571 , 106.0782 , 76.2506 , 5826 , 0.0000 , 0.1024 , 11.3700 , 9.8813 , 243 , 100 , 0.0103 , -0.9545 , -0.8557 
objM0001.cimgz , 06 , 0.79 , 1 , 0.02 , -15.4796 , -0.6345 , 104.5525 , 75.9571 , 105.5068 , 86.2188 , 6892 , 0.0171 , 0.2099 , 14.4120 , 10.8583 , 312 , 312 , 0.6110 , -0.8571 , -0.5430 
objM0001.cimgz , 07 , 0.79 , 1 , 0.02 , -18.5442 , -2.4958 , 104.5525 , 75.9571 , 105.3175 , 95.8486 , 7661 , 0.0097 , 0.1971 , 22.0469 , 14.7500 , 361 , 361 , 0.7171 , -0.9558 , -0.6233 
objM0001.cimgz , 08 , 0.79 , 1 , 0.02 , -19.2779 , -4.5340 , 104.5525 , 75.9571 , 105.6615 , 99.6168 , 7996 , 0.0112 , 0.2269 , 26.2791 , 17.7333 , 377 , 377 , 0.8946 , -0.9873 , -0.5568 
objM0001.cimgz , 09 , 0.79 , 1 , 0.02 , -25.0163 , 6.8725 , 104.5525 , 75.9571 , 104.1030 , 101.1798 , 7617 , 0.0214 , 0.2732 , 26.2042 , 16.9250 , 376 , 376 , 0.7753 , -0.9659 , -0.4819 
objM0001.cimgz , 10 , 0.79 , 1 , 0.02 , -16.8699 , 0.5778 , 104.5525 , 75.9571 , 103.3926 , 96.0700 , 2814 , 0.0559 , 0.0045 , 11.9632 , 10.4571 , 27 , 27 , 0.9905 , -0.9452 , -0.9206 
objM0001.cimgz , 11 , 0.79 , 1 , 0.02 , -9.2622 , 0.5574 , 104.5525 , 75.9571 , 103.2892 , 90.5469 , 7352 , 0.0331 , 0.1348 , 11.8986 , 9.0000 , 342 , 342 , 0.7222 , -0.9090 , -0.6717 
objM0001.cimgz , 00 , 0.79 , 1 , 0.04 , -42.5844 , 11.6305 , 104.5525 , 75.9571 , 103.2989 , 80.9668 , 9602 , 0.0177 , 0.0045 , 7.0773 , 6.1912 , 466 , 393 , 0.2678 , -0.7971 , -0.7820 
objM0001.cimgz , 01 , 0.79 , 1 , 0.04 , -16.9348 , -6.5051 , 104.5525 , 75.9571 , 103.3744 , 93.5720 , 11047 , 0.0182 , 0.2730 , 13.0964 , 8.9613 , 675 , 675 , 0.5073 , -0.8964 , -0.5079 
