
___________ Thu Sep 15 12:05:40 2022

* maxRotX=-45.0  * RangeX=25.0  * RangeY=15.0  * StepDeg=-2.0

___________ 
File , transition , degStep , pixelStep , contrastPerc , rotVecX , rotVecY , Rmajor , Rminor , Vmajor , Vminor , Time(us) , curvature , meanDifference , contrastelista , umbrallista , N1 , Nmatch , maximum , minimum , minimo_lejano 
objT0001.cimgz , 00 , 0.57 , 1 , 0.01 , -42.8118 , 13.7136 , 143.3190 , 114.2616 , 139.7959 , 124.7027 , 17841 , 0.0054 , 0.0330 , 6.3162 , 5.4579 , 382 , 179 , 0.7782 , -0.9776 , -0.9195 
objT0001.cimgz , 01 , 0.57 , 1 , 0.01 , -31.3433 , 0.4705 , 143.3190 , 114.2616 , 140.4389 , 116.8672 , 12659 , 0.0058 , 0.1634 , 11.4212 , 9.3579 , 337 , 337 , 0.8978 , -0.9222 , -0.6233 
objT0001.cimgz , 02 , 0.57 , 1 , 0.01 , -14.1575 , -0.4319 , 143.3190 , 114.2616 , 139.0310 , 134.8110 , 13702 , 0.0078 , 0.1161 , 32.1176 , 26.7556 , 379 , 379 , 0.7553 , -0.9873 , -0.7811 
objT0001.cimgz , 03 , 0.57 , 1 , 0.01 , -15.9418 , -0.3326 , 143.3190 , 114.2616 , 144.4504 , 139.0667 , 14702 , 0.0074 , 0.1791 , 47.3356 , 40.9000 , 407 , 407 , 0.7575 , -0.9760 , -0.6638 
objT0001.cimgz , 04 , 0.57 , 1 , 0.01 , -12.1364 , -0.1279 , 143.3190 , 114.2616 , 147.8123 , 138.8815 , 16706 , 0.0050 , 0.1472 , 52.0185 , 44.5000 , 420 , 420 , 0.7979 , -0.9739 , -0.7114 
objT0001.cimgz , 05 , 0.57 , 1 , 0.01 , -15.1022 , -0.4483 , 143.3190 , 114.2616 , 146.2438 , 137.4959 , 14008 , 0.0107 , 0.0690 , 49.6027 , 39.2000 , 393 , 393 , 0.8286 , -0.8636 , -0.7379 
objT0001.cimgz , 06 , 0.57 , 1 , 0.01 , 0.0000 , 0.0000 , 143.3190 , 114.2616 , 141.3816 , 131.4644 , 2656 , -2.0000 , 0.0000 , -1.0000 , 25.9818 , 00 , 00 , 0.0000 , 100.0000 , -1.0000 
objT0001.cimgz , 07 , 0.57 , 1 , 0.01 , -40.8780 , -1.4619 , 143.3190 , 114.2616 , 142.8945 , 114.2790 , 13486 , 0.0023 , 0.0853 , 6.9586 , 6.2486 , 357 , 307 , 0.4870 , -0.9341 , -0.8103 
objT0001.cimgz , 08 , 0.57 , 1 , 0.01 , -30.8818 , -0.9332 , 143.3190 , 114.2616 , 140.5287 , 129.3425 , 14317 , 0.0152 , 0.1078 , 9.2637 , 7.2595 , 367 , 367 , 0.7629 , -0.8362 , -0.6573 
objT0001.cimgz , 09 , 0.57 , 1 , 0.01 , -12.5259 , -1.1413 , 143.3190 , 114.2616 , 144.8472 , 138.9758 , 15685 , 0.0135 , 0.2540 , 17.3014 , 12.0400 , 414 , 414 , 0.7555 , -0.9953 , -0.5504 
objT0001.cimgz , 10 , 0.57 , 1 , 0.01 , -13.2916 , -6.0028 , 143.3190 , 114.2616 , 147.1600 , 138.9118 , 15719 , 0.0244 , 0.2284 , 16.5731 , 11.5000 , 421 , 421 , 0.6714 , -0.9942 , -0.6004 
objT0001.cimgz , 11 , 0.57 , 1 , 0.01 , -17.4631 , 1.2989 , 143.3190 , 114.2616 , 147.8024 , 138.0131 , 16109 , 0.0238 , 0.2184 , 14.7796 , 10.1579 , 420 , 420 , 0.8019 , -0.9779 , -0.5775 
objT0001.cimgz , 12 , 0.57 , 1 , 0.01 , -9.6349 , 7.1321 , 143.3190 , 114.2616 , 145.3015 , 136.4394 , 8857 , 0.0105 , 0.0655 , 9.6014 , 8.3625 , 127 , 117 , 0.9144 , -0.9651 , -0.8359 
objT0001.cimgz , 13 , 0.57 , 1 , 0.01 , -4.8629 , 6.7197 , 143.3190 , 114.2616 , 141.7652 , 135.9690 , 11277 , 0.0050 , 0.0842 , 7.4100 , 6.4395 , 263 , 254 , 0.8316 , -0.9840 , -0.8287 
objT0001.cimgz , 14 , 0.57 , 1 , 0.01 , 3.4848 , -4.9941 , 143.3190 , 114.2616 , 141.7859 , 136.8966 , 13827 , 0.0023 , 0.1793 , 6.5082 , 5.7969 , 358 , 348 , 0.6402 , -0.9778 , -0.6868 
objT0001.cimgz , 15 , 0.57 , 1 , 0.01 , 5.1148 , 1.1416 , 143.3190 , 114.2616 , 142.4427 , 136.0701 , 13133 , 0.0000 , 0.1307 , 7.0535 , 6.1980 , 299 , 296 , 0.6941 , -0.9129 , -0.7029 
objT0001.cimgz , 16 , 0.57 , 1 , 0.01 , 1.3467 , 3.2287 , 143.3190 , 114.2616 , 142.6900 , 137.0081 , 9786 , 0.0076 , 0.0332 , 7.3845 , 6.5727 , 139 , 139 , 0.8928 , -0.9831 , -0.9160 
objT0001.cimgz , 00 , 0.57 , 1 , 0.02 , -42.4532 , 13.5808 , 143.3190 , 114.2616 , 139.7959 , 124.7027 , 25181 , 0.0027 , 0.0019 , 5.7895 , 4.8675 , 719 , 316 , 0.5869 , -0.9154 , -0.9093 
objT0001.cimgz , 01 , 0.57 , 1 , 0.02 , -32.0375 , -0.1443 , 143.3190 , 114.2616 , 140.4389 , 116.8672 , 22370 , 0.0049 , 0.1677 , 9.9621 , 7.4245 , 679 , 679 , 0.8663 , -0.9130 , -0.6108 
objT0001.cimgz , 02 , 0.57 , 1 , 0.02 , -14.3161 , -0.4334 , 143.3190 , 114.2616 , 139.0310 , 134.8110 , 24128 , 0.0106 , 0.1949 , 28.2258 , 20.8667 , 756 , 756 , 0.6012 , -0.9652 , -0.6575 
objT0001.cimgz , 03 , 0.57 , 1 , 0.02 , -16.1231 , -0.3127 , 143.3190 , 114.2616 , 144.4504 , 139.0667 , 25739 , 0.0061 , 0.3029 , 42.5755 , 33.3333 , 814 , 814 , 0.6711 , -0.9606 , -0.4638 
objT0001.cimgz , 04 , 0.57 , 1 , 0.02 , -12.1073 , -0.1352 , 143.3190 , 114.2616 , 147.8123 , 138.8815 , 25940 , 0.0102 , 0.2353 , 46.5226 , 35.9111 , 834 , 834 , 0.6917 , -0.9662 , -0.5734 
objT0001.cimgz , 05 , 0.57 , 1 , 0.02 , -15.0757 , -0.4636 , 143.3190 , 114.2616 , 146.2438 , 137.4959 , 23177 , 0.0087 , 0.1086 , 43.5072 , 31.6727 , 739 , 739 , 0.6323 , -0.8323 , -0.6685 
objT0001.cimgz , 06 , 0.57 , 1 , 0.02 , 0.0000 , 0.0000 , 143.3190 , 114.2616 , 141.3816 , 131.4644 , 2734 , -2.0000 , 0.0000 , -1.0000 , 18.0133 , 00 , 00 , 0.0000 , 100.0000 , -1.0000 
objT0001.cimgz , 07 , 0.57 , 1 , 0.02 , -40.6814 , -1.4370 , 143.3190 , 114.2616 , 142.8945 , 114.2790 , 22725 , 0.0035 , 0.1282 , 6.4873 , 5.7395 , 711 , 581 , 0.3162 , -0.9271 , -0.7649 
objT0001.cimgz , 08 , 0.57 , 1 , 0.02 , -31.1455 , -0.8866 , 143.3190 , 114.2616 , 140.5287 , 129.3425 , 22183 , 0.0127 , 0.1626 , 8.1385 , 6.0552 , 686 , 682 , 0.6118 , -0.7606 , -0.5267 
objT0001.cimgz , 09 , 0.57 , 1 , 0.02 , -12.5500 , -1.1495 , 143.3190 , 114.2616 , 144.8472 , 138.9758 , 24988 , 0.0155 , 0.3033 , 14.3204 , 8.2462 , 779 , 779 , 0.6291 , -0.9935 , -0.5013 
objT0001.cimgz , 10 , 0.57 , 1 , 0.02 , -13.1857 , -6.0200 , 143.3190 , 114.2616 , 147.1600 , 138.9118 , 26414 , 0.0058 , 0.2877 , 13.5426 , 8.1378 , 847 , 847 , 0.5672 , -0.9837 , -0.5273 
objT0001.cimgz , 11 , 0.57 , 1 , 0.02 , -17.4589 , 1.3020 , 143.3190 , 114.2616 , 147.8024 , 138.0131 , 25250 , 0.0249 , 0.2775 , 12.3213 , 7.5214 , 777 , 777 , 0.5936 , -0.9690 , -0.5233 
objT0001.cimgz , 12 , 0.57 , 1 , 0.02 , -9.7394 , 7.1021 , 143.3190 , 114.2616 , 145.3015 , 136.4394 , 15084 , 0.0109 , 0.1726 , 8.2343 , 6.9341 , 418 , 366 , 0.7782 , -0.9587 , -0.6537 
objT0001.cimgz , 13 , 0.57 , 1 , 0.02 , -5.2083 , 6.7196 , 143.3190 , 114.2616 , 141.7652 , 135.9690 , 19682 , 0.0054 , 0.1934 , 6.6745 , 5.7481 , 600 , 582 , 0.5718 , -0.9749 , -0.6736 
objT0001.cimgz , 14 , 0.57 , 1 , 0.02 , 3.5689 , -5.0391 , 143.3190 , 114.2616 , 141.7859 , 136.8966 , 22668 , 0.0028 , 0.2434 , 6.0110 , 5.2260 , 731 , 703 , 0.4944 , -0.9764 , -0.6174 
objT0001.cimgz , 15 , 0.57 , 1 , 0.02 , 5.1148 , 1.7124 , 143.3190 , 114.2616 , 142.4427 , 136.0701 , 21474 , 0.0000 , 0.1601 , 6.4216 , 5.5333 , 653 , 639 , 0.6721 , -0.8927 , -0.6422 
objT0001.cimgz , 16 , 0.57 , 1 , 0.02 , 1.4040 , 3.2325 , 143.3190 , 114.2616 , 142.6900 , 137.0081 , 16531 , 0.0072 , 0.1076 , 6.4610 , 5.5252 , 438 , 436 , 0.6894 , -0.9814 , -0.7973 
objT0001.cimgz , 00 , 0.57 , 1 , 0.04 , -36.0962 , -5.1341 , 143.3190 , 114.2616 , 139.7959 , 124.7027 , 39440 , 0.0055 , 0.0352 , 5.2467 , 4.2566 , 1331 , 1262 , 0.4705 , -0.8935 , -0.8451 
objT0001.cimgz , 01 , 0.57 , 1 , 0.04 , -32.9822 , -0.1654 , 143.3190 , 114.2616 , 140.4389 , 116.8672 , 38535 , 0.0032 , 0.1827 , 8.4856 , 6.0482 , 1355 , 1355 , 0.7493 , -0.9050 , -0.6007 
objT0001.cimgz , 02 , 0.57 , 1 , 0.04 , -14.4343 , -0.4261 , 143.3190 , 114.2616 , 139.0310 , 134.8110 , 40288 , 0.0127 , 0.2430 , 23.2691 , 13.5333 , 1515 , 1515 , 0.5136 , -0.9327 , -0.5766 
objT0001.cimgz , 03 , 0.57 , 1 , 0.04 , -16.2072 , -0.2657 , 143.3190 , 114.2616 , 144.4504 , 139.0667 , 45306 , 0.0053 , 0.3350 , 36.1065 , 23.2667 , 1626 , 1626 , 0.5545 , -0.9331 , -0.4327 
objT0001.cimgz , 04 , 0.57 , 1 , 0.04 , -12.3361 , -0.7169 , 143.3190 , 114.2616 , 147.8123 , 138.8815 , 47477 , 0.0102 , 0.3436 , 39.4043 , 26.2571 , 1672 , 1672 , 0.5003 , -0.9420 , -0.4424 
objT0001.cimgz , 05 , 0.57 , 1 , 0.04 , -14.6852 , -0.4418 , 143.3190 , 114.2616 , 146.2438 , 137.4959 , 37746 , 0.0140 , 0.1851 , 37.3207 , 23.2421 , 1313 , 1309 , 0.5231 , -0.8020 , -0.5508 
objT0001.cimgz , 06 , 0.57 , 1 , 0.04 , 5.1148 , -5.1371 , 143.3190 , 114.2616 , 141.3816 , 131.4644 , 6400 , 0.0000 , 0.2446 , 14.8476 , 12.4485 , 123 , 123 , 0.9972 , -0.7165 , -0.2973 
objT0001.cimgz , 07 , 0.57 , 1 , 0.04 , -40.5605 , -1.4067 , 143.3190 , 114.2616 , 142.8945 , 114.2790 , 39215 , 0.0042 , 0.1731 , 5.9982 , 5.0851 , 1342 , 1079 , 0.1529 , -0.9122 , -0.7245 
objT0001.cimgz , 08 , 0.57 , 1 , 0.04 , -31.4716 , -0.9461 , 143.3190 , 114.2616 , 140.5287 , 129.3425 , 37908 , 0.0164 , 0.1968 , 7.0401 , 5.0660 , 1278 , 1258 , 0.4453 , -0.6833 , -0.4554 
objT0001.cimgz , 09 , 0.57 , 1 , 0.04 , -12.5829 , -1.1495 , 143.3190 , 114.2616 , 144.8472 , 138.9758 , 41149 , 0.0170 , 0.3777 , 11.6882 , 6.1918 , 1394 , 1383 , 0.4851 , -0.9912 , -0.4335 
objT0001.cimgz , 10 , 0.57 , 1 , 0.04 , -13.2020 , -6.0209 , 143.3190 , 114.2616 , 147.1600 , 138.9118 , 44091 , 0.0090 , 0.3708 , 10.7472 , 5.9624 , 1685 , 1679 , 0.4788 , -0.9760 , -0.4266 
objT0001.cimgz , 11 , 0.57 , 1 , 0.04 , -17.4889 , 1.3077 , 143.3190 , 114.2616 , 147.8024 , 138.0131 , 42775 , 0.0250 , 0.3664 , 9.8015 , 5.7222 , 1571 , 1552 , 0.4436 , -0.9475 , -0.4279 
objT0001.cimgz , 12 , 0.57 , 1 , 0.04 , -9.9425 , 7.1766 , 143.3190 , 114.2616 , 145.3015 , 136.4394 , 30528 , 0.0096 , 0.3050 , 7.0515 , 5.6644 , 1083 , 966 , 0.4984 , -0.9492 , -0.5029 
objT0001.cimgz , 13 , 0.57 , 1 , 0.04 , -5.2575 , 6.1976 , 143.3190 , 114.2616 , 141.7652 , 135.9690 , 36314 , 0.0036 , 0.3086 , 5.9963 , 5.0032 , 1302 , 1267 , 0.3740 , -0.9659 , -0.5519 
objT0001.cimgz , 14 , 0.57 , 1 , 0.04 , 3.5979 , -5.0422 , 143.3190 , 114.2616 , 141.7859 , 136.8966 , 41506 , 0.0025 , 0.3620 , 5.4461 , 4.5734 , 1523 , 1466 , 0.3353 , -0.9699 , -0.4966 
objT0001.cimgz , 15 , 0.57 , 1 , 0.04 , 5.1148 , 1.7124 , 143.3190 , 114.2616 , 142.4427 , 136.0701 , 38674 , 0.0000 , 0.2442 , 5.7608 , 4.7853 , 1403 , 1370 , 0.5710 , -0.8806 , -0.5262 
objT0001.cimgz , 16 , 0.57 , 1 , 0.04 , 1.4356 , 3.2221 , 143.3190 , 114.2616 , 142.6900 , 137.0081 , 32322 , 0.0059 , 0.2221 , 5.6342 , 4.6655 , 1109 , 1078 , 0.4763 , -0.9749 , -0.6493 
objT0001.cimgz , 00 , 0.57 , 1 , 0.08 , -35.9694 , -5.0189 , 143.3190 , 114.2616 , 139.7959 , 124.7027 , 69163 , 0.0055 , 0.1204 , 4.6672 , 3.6197 , 2506 , 2342 , 0.3662 , -0.8711 , -0.7204 
objT0001.cimgz , 01 , 0.57 , 1 , 0.08 , -33.3117 , -0.1377 , 143.3190 , 114.2616 , 140.4389 , 116.8672 , 71651 , 0.0054 , 0.2117 , 7.1780 , 4.8494 , 2593 , 2575 , 0.6181 , -0.8959 , -0.5718 
objT0001.cimgz , 02 , 0.57 , 1 , 0.08 , -14.5681 , -0.4368 , 143.3190 , 114.2616 , 139.0310 , 134.8110 , 83479 , 0.0117 , 0.3092 , 18.0100 , 8.6951 , 3065 , 3065 , 0.4676 , -0.8519 , -0.4390 
objT0001.cimgz , 03 , 0.57 , 1 , 0.08 , -16.4106 , -0.2571 , 143.3190 , 114.2616 , 144.4504 , 139.0667 , 87543 , 0.0078 , 0.3901 , 28.3587 , 12.8250 , 3253 , 3253 , 0.4909 , -0.8979 , -0.3527 
objT0001.cimgz , 04 , 0.57 , 1 , 0.08 , -12.3492 , -0.7269 , 143.3190 , 114.2616 , 147.8123 , 138.8815 , 88979 , 0.0170 , 0.3822 , 31.4212 , 14.7292 , 3284 , 3284 , 0.4351 , -0.9129 , -0.3916 
objT0001.cimgz , 05 , 0.57 , 1 , 0.08 , -14.6493 , -0.4190 , 143.3190 , 114.2616 , 146.2438 , 137.4959 , 70382 , 0.0186 , 0.2839 , 29.2114 , 12.6950 , 2615 , 2608 , 0.4001 , -0.7578 , -0.4216 
objT0001.cimgz , 06 , 0.57 , 1 , 0.08 , -45.1148 , 14.2698 , 143.3190 , 114.2616 , 141.3816 , 131.4644 , 16452 , 0.0000 , 0.0109 , 10.3734 , 7.3280 , 555 , 177 , 0.7202 , -0.7083 , -0.6928 
objT0001.cimgz , 07 , 0.57 , 1 , 0.08 , -40.3386 , -1.3584 , 143.3190 , 114.2616 , 142.8945 , 114.2790 , 65686 , 0.0023 , 0.1944 , 5.3996 , 4.3096 , 2578 , 2085 , 0.0569 , -0.8914 , -0.7037 
objT0001.cimgz , 08 , 0.57 , 1 , 0.08 , -32.1001 , -0.9749 , 143.3190 , 114.2616 , 140.5287 , 129.3425 , 67175 , 0.0089 , 0.2240 , 5.9461 , 4.1572 , 2523 , 2466 , 0.3394 , -0.6190 , -0.3989 
objT0001.cimgz , 09 , 0.57 , 1 , 0.08 , -12.5989 , -1.1516 , 143.3190 , 114.2616 , 144.8472 , 138.9758 , 91602 , 0.0169 , 0.4501 , 9.1970 , 4.7941 , 2694 , 2640 , 0.3820 , -0.9836 , -0.3688 
objT0001.cimgz , 10 , 0.57 , 1 , 0.08 , -13.3080 , -6.0254 , 143.3190 , 114.2616 , 147.1600 , 138.9118 , 87870 , 0.0242 , 0.4513 , 8.4767 , 4.5753 , 3314 , 3257 , 0.3637 , -0.9654 , -0.3560 
objT0001.cimgz , 11 , 0.57 , 1 , 0.08 , -17.5959 , 1.3144 , 143.3190 , 114.2616 , 147.8024 , 138.0131 , 87553 , 0.0134 , 0.4210 , 7.7485 , 4.5034 , 3205 , 3144 , 0.3190 , -0.9180 , -0.3910 
