
___________ Mon Sep 26 11:01:21 2022

* maxRotX=-45.0  * RangeX=25.0  * RangeY=15.0  * StepDeg=-2.0

___________ 
File , transition , degStep , pixelStep , contrastPerc , rotVecX , rotVecY , Rmajor , Rminor , Vmajor , Vminor , Time(us) , curvature , meanDifference , contrastelista , umbrallista , N1 , Nmatch , maximum , minimum , minimo_lejano 
objTR0001.cimgz , 00 , 0.50 , 4 , 0.08 , -41.2494 , -2.8714 , 112.6506 , 77.4992 , 111.0862 , 78.5874 , 3778 , 0.6516 , 0.0038 , 4.6436 , 3.2889 , 48 , 09 , 0.3187 , -1.1280 , -0.9587 
objTR0001.cimgz , 01 , 0.50 , 4 , 0.08 , -41.4949 , 5.8758 , 112.6506 , 77.4992 , 113.1125 , 77.4992 , 3275 , 0.0026 , 0.0158 , 6.0005 , 4.0222 , 47 , 16 , 0.4704 , -1.0407 , -0.9740 
objTR0001.cimgz , 02 , 0.50 , 4 , 0.08 , 0.0000 , 3.0000 , 112.6506 , 77.4992 , 114.0530 , 79.4847 , 3852 , -1.0000 , 0.0926 , 6.5469 , 4.8400 , 58 , 33 , -0.6958 , -0.9779 , -0.9518 
objTR0001.cimgz , 03 , 0.50 , 4 , 0.08 , -32.5195 , 10.9413 , 112.6506 , 77.4992 , 115.1445 , 78.9642 , 3215 , 0.0065 , 0.0029 , 8.2770 , 6.4500 , 51 , 13 , -0.3575 , -0.9901 , -0.9873 
objTR0001.cimgz , 04 , 0.50 , 4 , 0.08 , 0.8992 , -1.1455 , 112.6506 , 77.4992 , 111.9259 , 79.5254 , 3165 , 0.0012 , 0.0016 , 8.0120 , 6.1000 , 60 , 36 , -0.6161 , -0.9921 , -0.9910 
objTR0001.cimgz , 05 , 0.50 , 4 , 0.08 , -4.9051 , -6.2326 , 112.6506 , 77.4992 , 112.7726 , 78.7425 , 3328 , 0.0018 , 0.0343 , 8.2894 , 6.5333 , 58 , 28 , -0.7087 , -0.9906 , -0.9800 
objTR0001.cimgz , 06 , 0.50 , 4 , 0.08 , -44.6205 , 13.6076 , 112.6506 , 77.4992 , 114.5305 , 78.6524 , 3516 , 0.0079 , 0.0051 , 7.5533 , 6.0000 , 71 , 30 , -0.7447 , -0.9492 , -0.9415 
objTR0001.cimgz , 07 , 0.50 , 4 , 0.08 , -3.3750 , 3.9244 , 112.6506 , 77.4992 , 111.4475 , 79.5085 , 4030 , 0.0032 , 0.0231 , 7.7785 , 6.4000 , 73 , 47 , -0.6200 , -0.9594 , -0.9505 
objTR0001.cimgz , 08 , 0.50 , 4 , 0.08 , -2.5000 , -15.0000 , 112.6506 , 77.4992 , 111.4670 , 78.8300 , 3970 , 0.0000 , 0.0385 , 5.7918 , 4.2222 , 75 , 51 , -0.6975 , -0.9648 , -0.9545 
objTR0001.cimgz , 00 , 1.00 , 4 , 0.08 , -41.3766 , -2.6211 , 112.6506 , 77.4992 , 111.0862 , 78.5874 , 950 , 0.9170 , 0.0063 , 4.6436 , 3.2889 , 48 , 09 , 0.3181 , -1.0515 , -0.9555 
