
___________ Mon Sep 26 10:59:07 2022

* maxRotX=-45.0  * RangeX=25.0  * RangeY=15.0  * StepDeg=-2.0

___________ 
File , transition , degStep , pixelStep , contrastPerc , rotVecX , rotVecY , Rmajor , Rminor , Vmajor , Vminor , Time(us) , curvature , meanDifference , contrastelista , umbrallista , N1 , Nmatch , maximum , minimum , minimo_lejano 
objTR0001.cimgz , 00 , 1.01 , 1 , 0.01 , -24.8664 , -12.7097 , 112.6506 , 77.4992 , 111.0862 , 78.5874 , 5209 , 0.0171 , 0.1120 , 9.7413 , 5.2720 , 131 , 127 , 0.9831 , -0.1037 , 0.0311 
objTR0001.cimgz , 01 , 1.01 , 1 , 0.01 , 3.6390 , -3.2750 , 112.6506 , 77.4992 , 113.1125 , 77.4992 , 3483 , 0.9854 , 0.1975 , 18.4223 , 10.3000 , 122 , 33 , 0.9653 , -1.2286 , -0.5974 
objTR0001.cimgz , 02 , 1.01 , 1 , 0.01 , -38.1063 , -7.2941 , 112.6506 , 77.4992 , 114.0530 , 79.4847 , 2659 , 0.6083 , 0.0009 , 9.6199 , 8.3185 , 116 , 23 , 0.2226 , -1.1478 , -0.9941 
objTR0001.cimgz , 03 , 1.01 , 1 , 0.01 , -38.8667 , -6.0844 , 112.6506 , 77.4992 , 115.1445 , 78.9642 , 2647 , 0.0070 , 0.0161 , 11.1518 , 9.7333 , 136 , 55 , 0.4196 , -0.9837 , -0.9597 
objTR0001.cimgz , 04 , 1.01 , 1 , 0.01 , -21.3081 , -13.0870 , 112.6506 , 77.4992 , 111.9259 , 79.5254 , 2454 , 0.0068 , 0.0136 , 11.0319 , 8.9818 , 101 , 71 , 0.7220 , -0.9509 , -0.9257 
objTR0001.cimgz , 05 , 1.01 , 1 , 0.01 , -38.5064 , 14.2438 , 112.6506 , 77.4992 , 112.7726 , 78.7425 , 2330 , 0.0025 , 0.0185 , 9.4986 , 8.7568 , 79 , 20 , -0.0740 , -0.9929 , -0.9739 
objTR0001.cimgz , 06 , 1.01 , 1 , 0.01 , -10.9605 , -0.6758 , 112.6506 , 77.4992 , 114.5305 , 78.6524 , 3166 , 0.0254 , 0.0382 , 11.4326 , 9.1417 , 164 , 152 , 0.1536 , -0.8161 , -0.7749 
objTR0001.cimgz , 07 , 1.01 , 1 , 0.01 , -1.7934 , 6.4188 , 112.6506 , 77.4992 , 111.4475 , 79.5085 , 3357 , 0.0263 , 0.0084 , 10.2077 , 8.7737 , 168 , 149 , 0.3974 , -0.8784 , -0.8590 
objTR0001.cimgz , 08 , 1.01 , 1 , 0.01 , -4.3786 , 13.2339 , 112.6506 , 77.4992 , 111.4670 , 78.8300 , 2704 , 0.0091 , 0.0264 , 6.9100 , 5.9886 , 163 , 89 , -0.3696 , -0.9440 , -0.9266 
objTR0001.cimgz , 00 , 1.01 , 1 , 0.02 , -25.4241 , -13.5373 , 112.6506 , 77.4992 , 111.0862 , 78.5874 , 4154 , 0.0119 , 0.1381 , 8.1582 , 4.5600 , 217 , 198 , 0.8665 , -0.2409 , -0.0791 
objTR0001.cimgz , 01 , 1.01 , 1 , 0.02 , 2.6799 , -3.8633 , 112.6506 , 77.4992 , 113.1125 , 77.4992 , 2560 , 0.0123 , 0.2079 , 15.7126 , 7.0640 , 185 , 48 , 0.9369 , -0.9396 , -0.5455 
objTR0001.cimgz , 02 , 1.01 , 1 , 0.02 , -32.0716 , -8.0477 , 112.6506 , 77.4992 , 114.0530 , 79.4847 , 3119 , -1.0000 , 0.0109 , 8.6959 , 7.2000 , 240 , 90 , 0.0176 , -0.9839 , -0.9729 
objTR0001.cimgz , 03 , 1.01 , 1 , 0.02 , -38.9600 , -5.8735 , 112.6506 , 77.4992 , 115.1445 , 78.9642 , 3252 , 0.0050 , 0.0210 , 10.3828 , 8.7922 , 237 , 107 , 0.3440 , -0.9715 , -0.9432 
objTR0001.cimgz , 04 , 1.01 , 1 , 0.02 , -21.6652 , -13.1879 , 112.6506 , 77.4992 , 111.9259 , 79.5254 , 3125 , 0.0057 , 0.0505 , 9.5958 , 7.9654 , 240 , 167 , 0.2442 , -0.9204 , -0.8603 
objTR0001.cimgz , 05 , 1.01 , 1 , 0.02 , -38.9224 , 12.6153 , 112.6506 , 77.4992 , 112.7726 , 78.7425 , 2694 , 0.0047 , 0.0369 , 8.9138 , 8.0327 , 169 , 34 , -0.2532 , -0.9820 , -0.9516 
objTR0001.cimgz , 06 , 1.01 , 1 , 0.02 , -13.4539 , 2.1462 , 112.6506 , 77.4992 , 114.5305 , 78.6524 , 4017 , 0.0075 , 0.0204 , 10.2252 , 8.0647 , 301 , 252 , 0.0215 , -0.7469 , -0.7257 
objTR0001.cimgz , 07 , 1.01 , 1 , 0.02 , -1.7256 , 6.4954 , 112.6506 , 77.4992 , 111.4475 , 79.5085 , 4098 , 0.0204 , 0.0060 , 9.3819 , 8.0045 , 321 , 287 , 0.1231 , -0.8406 , -0.8266 
objTR0001.cimgz , 08 , 1.01 , 1 , 0.02 , -12.9957 , 0.2244 , 112.6506 , 77.4992 , 111.4670 , 78.8300 , 3808 , 0.0109 , 0.0318 , 6.3286 , 5.3775 , 319 , 225 , -0.4453 , -0.8988 , -0.8815 
objTR0001.cimgz , 00 , 1.01 , 1 , 0.04 , -30.0597 , 15.0895 , 112.6506 , 77.4992 , 111.0862 , 78.5874 , 5284 , 0.0000 , 0.2454 , 6.5959 , 3.9867 , 413 , 136 , 0.7204 , -0.7211 , -0.3673 
objTR0001.cimgz , 01 , 1.01 , 1 , 0.04 , 2.7216 , -2.5943 , 112.6506 , 77.4992 , 113.1125 , 77.4992 , 3523 , 0.0189 , 0.0162 , 11.9261 , 5.6500 , 372 , 175 , 0.7620 , -0.8775 , -0.8340 
